Date,Htemp,Ltemp,Humidity,Pressure,Yield
23-Feb,81,27,69,30.1,
23-Mar,82,26,67,30,
23-Apr,85,46,65,30,
23-May,89,52,70,30,
23-Jun,97,62,69,29.9,
23-Jul,99,65,70,30.02,
23-Aug,99,66,71,30.01,
23-Sep,98,52,65,30.03,
23-Oct,89,38,66,30.06,
23-Nov,78,28,68,30.13,
