Htemp,Ltemp,Humidity,Pressure,Yield
75,4,76,30.16,7630
81,33,68,30.09,7630
83,35,67,30.01,7630
89,47,70,30.06,7630
96,57,74,29.97,7630
98,62,73,30.01,7630
97,65,71,30,7630
98,51,68,30.01,7630
88,43,75,29.96,7630
76,30,69,30.2,7630
